Date : 2024-07-09 11:05:04
Directory : d:\Learn\codeEditor
Total : 132 files,  12090 codes, 197 comments, 1544 blanks, all 13831 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| apps\client\src\components\Meeting                                                                      |          1 |         70 |          2 |          7 |         79 |
| apps\client\src\components\ProblemDescription                                                           |          4 |        376 |         24 |         39 |        439 |
| apps\client\src\components\QuestionDrawer                                                               |          1 |         25 |          0 |          6 |         31 |
| apps\client\src\components\TestCase                                                                     |          1 |          5 |          0 |          4 |          9 |
| apps\client\src\components\TestResponse                                                                 |          1 |         25 |          0 |          2 |         27 |
| apps\client\src\contexts                                                                                |          2 |         58 |          1 |         16 |         75 |
| apps\client\src\hooks                                                                                   |          1 |         30 |          0 |          6 |         36 |
| apps\client\src\pages                                                                                   |          3 |        151 |          0 |         16 |        167 |
| apps\client\src\router                                                                                  |          1 |         37 |          0 |          2 |         39 |
| apps\client\src\store                                                                                   |          3 |         74 |          0 |          9 |         83 |
| apps\client\src\styles                                                                                  |          8 |      1,265 |          7 |         70 |      1,342 |
| apps\client\src\utils                                                                                   |          1 |         47 |          1 |          8 |         56 |
| apps\server                                                                                             |         50 |      1,299 |         68 |        194 |      1,561 |
| apps\server (Files)                                                                                     |          9 |        159 |          8 |         37 |        204 |
| apps\server\prisma                                                                                      |          5 |         30 |         15 |         13 |         58 |
| apps\server\prisma (Files)                                                                              |          1 |         17 |          4 |          6 |         27 |
| apps\server\prisma\migrations                                                                           |          4 |         13 |         11 |          7 |         31 |
| apps\server\prisma\migrations\20240614085518_init                                                       |          1 |          4 |          1 |          2 |          7 |
| apps\server\prisma\migrations\20240617025053_add_user_model                                             |          1 |          7 |          2 |          3 |         12 |
| apps\server\prisma\migrations\20240617060214_make_username_unique                                       |          1 |          1 |          7 |          1 |          9 |
| apps\server\prisma\migrations\20240617061902_make_username_not_unique                                   |          1 |          1 |          1 |          1 |          3 |
| apps\server\src                                                                                         |         36 |      1,110 |         45 |        144 |      1,299 |
| apps\server\src (Files)                                                                                 |          5 |        254 |          8 |         30 |        292 |
| apps\server\src\interceptors                                                                            |          2 |         56 |          0 |          6 |         62 |
| apps\server\src\modules                                                                                 |         29 |        800 |         37 |        108 |        945 |
| apps\server\src\modules\code                                                                            |          4 |         50 |          0 |         13 |         63 |
| apps\server\src\modules\code (Files)                                                                    |          3 |         40 |          0 |          9 |         49 |
| apps\server\src\modules\code\dto                                                                        |          1 |         10 |          0 |          4 |         14 |
| apps\server\src\modules\docker                                                                          |          7 |        240 |         15 |         27 |        282 |
| apps\server\src\modules\docker (Files)                                                                  |          6 |        230 |         15 |         23 |        268 |
| apps\server\src\modules\docker\Images                                                                   |          1 |         10 |          0 |          4 |         14 |
| apps\server\src\modules\docker\Images\nodejs                                                            |          1 |         10 |          0 |          4 |         14 |
| apps\server\src\modules\gateway                                                                         |          3 |        235 |         17 |         24 |        276 |
| apps\server\src\modules\leetcode                                                                        |          4 |         67 |          3 |         11 |         81 |
| apps\server\src\modules\leetcode (Files)                                                                |          3 |         61 |          3 |          9 |         73 |
| apps\server\src\modules\leetcode\dto                                                                    |          1 |          6 |          0 |          2 |          8 |
| apps\server\src\modules\livekit                                                                         |          4 |         57 |          0 |         11 |         68 |
| apps\server\src\modules\livekit (Files)                                                                 |          3 |         48 |          0 |          8 |         56 |
| apps\server\src\modules\livekit\dto                                                                     |          1 |          9 |          0 |          3 |         12 |
| apps\server\src\modules\prisma                                                                          |          2 |         18 |          0 |          3 |         21 |
| apps\server\src\modules\room                                                                            |          5 |        133 |          2 |         19 |        154 |
| apps\server\src\modules\room (Files)                                                                    |          3 |        111 |          2 |         15 |        128 |
| apps\server\src\modules\room\dto                                                                        |          1 |         21 |          0 |          3 |         24 |
| apps\server\src\modules\room\entities                                                                   |          1 |          1 |          0 |          1 |          2 |
| lib                                                                                                     |         11 |        255 |         15 |         31 |        301 |
| lib\assets                                                                                              |          2 |         30 |          0 |          2 |         32 |
| lib\assets\svgs                                                                                         |          2 |         30 |          0 |          2 |         32 |
| lib\requests                                                                                            |          6 |        164 |          7 |         19 |        190 |
| lib\types                                                                                               |          1 |         24 |          0 |          1 |         25 |
| lib\types\leetcode                                                                                      |          1 |         24 |          0 |          1 |         25 |
| lib\utils                                                                                               |          2 |         37 |          8 |          9 |         54 |
| types                                                                                                   |          1 |          8 |          0 |          2 |         10 |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\Learn\codeEditor\.dockerignore                                                                       | Ignore             |          1 |          0 |          0 |          1 |
| d:\Learn\codeEditor\.prettierignore                                                                     | Ignore             |          4 |          0 |          0 |          4 |
| d:\Learn\codeEditor\.prettierrc.cjs                                                                     | JavaScript         |         17 |         15 |          1 |         33 |
| d:\Learn\codeEditor\apps\client\.dockerignore                                                           | Ignore             |          0 |          0 |          1 |          1 |
| d:\Learn\codeEditor\apps\client\Dockerfile                                                              | Docker             |         11 |         12 |         10 |         33 |
| d:\Learn\codeEditor\apps\client\README.md                                                               | Markdown           |         19 |          0 |         11 |         30 |
| d:\Learn\codeEditor\apps\client\nginx.conf                                                              | Properties         |         17 |          1 |          6 |         24 |
| d:\Learn\codeEditor\apps\client\package.json                                                            | JSON               |         10 |          0 |          1 |         11 |
| d:\Learn\codeEditor\apps\client\postcss.config.cjs                                                      | JavaScript         |          5 |          0 |          1 |          6 |
| d:\Learn\codeEditor\apps\client\rsbuild.config.ts                                                       | TypeScript         |         20 |          0 |          2 |         22 |
| d:\Learn\codeEditor\apps\client\src\App.tsx                                                             | TypeScript JSX     |         46 |          0 |          8 |         54 |
| d:\Learn\codeEditor\apps\client\src\Layout\Container\Container.tsx                                      | TypeScript JSX     |         14 |          0 |          3 |         17 |
| d:\Learn\codeEditor\apps\client\src\Layout\Header\Avatar.tsx                                            | TypeScript JSX     |         24 |          0 |          1 |         25 |
| d:\Learn\codeEditor\apps\client\src\Layout\Header\Header.css                                            | CSS                |         49 |          0 |          6 |         55 |
| d:\Learn\codeEditor\apps\client\src\Layout\Header\Header.tsx                                            | TypeScript JSX     |         67 |          0 |          5 |         72 |
| d:\Learn\codeEditor\apps\client\src\Layout\Header\Operations.tsx                                        | TypeScript JSX     |         67 |          0 |          4 |         71 |
| d:\Learn\codeEditor\apps\client\src\Layout\Header\ThemeToggle.tsx                                       | TypeScript JSX     |         15 |          0 |          3 |         18 |
| d:\Learn\codeEditor\apps\client\src\Layout\Main\Main.tsx                                                | TypeScript JSX     |          9 |          0 |          2 |         11 |
| d:\Learn\codeEditor\apps\client\src\components\CodeEditor\CodeEditor.tsx                                | TypeScript JSX     |        138 |          6 |         19 |        163 |
| d:\Learn\codeEditor\apps\client\src\components\CodeEditor\LanguageSelector.tsx                          | TypeScript JSX     |         99 |          0 |          4 |        103 |
| d:\Learn\codeEditor\apps\client\src\components\CodeEditor\UserTooltip.tsx                               | TypeScript JSX     |         50 |          1 |          6 |         57 |
| d:\Learn\codeEditor\apps\client\src\components\Collapse\Collapse.css                                    | CSS                |          3 |          0 |          0 |          3 |
| d:\Learn\codeEditor\apps\client\src\components\Collapse\Collapse.tsx                                    | TypeScript JSX     |         51 |         32 |          6 |         89 |
| d:\Learn\codeEditor\apps\client\src\components\ErrorBoundary.tsx                                        | TypeScript JSX     |         10 |          0 |          3 |         13 |
| d:\Learn\codeEditor\apps\client\src\components\FlexLayout\FlexLayout.css                                | CSS                |          4 |          0 |          1 |          5 |
| d:\Learn\codeEditor\apps\client\src\components\FlexLayout\FlexLayout.tsx                                | TypeScript JSX     |         46 |          0 |          4 |         50 |
| d:\Learn\codeEditor\apps\client\src\components\FlexLayout\factory.css                                   | CSS                |         11 |          0 |          1 |         12 |
| d:\Learn\codeEditor\apps\client\src\components\FlexLayout\factory.tsx                                   | TypeScript JSX     |         81 |          0 |          5 |         86 |
| d:\Learn\codeEditor\apps\client\src\components\FlexLayout\model.ts                                      | TypeScript         |         98 |          0 |          2 |        100 |
| d:\Learn\codeEditor\apps\client\src\components\Meeting\Meeting.tsx                                      | TypeScript JSX     |         70 |          2 |          7 |         79 |
| d:\Learn\codeEditor\apps\client\src\components\ProblemDescription\Markdown.css                          | CSS                |         82 |         24 |         27 |        133 |
| d:\Learn\codeEditor\apps\client\src\components\ProblemDescription\ProblemDescription.css                | CSS                |         23 |          0 |          2 |         25 |
| d:\Learn\codeEditor\apps\client\src\components\ProblemDescription\ProblemDescription.tsx                | TypeScript JSX     |        112 |          0 |          5 |        117 |
| d:\Learn\codeEditor\apps\client\src\components\ProblemDescription\Questions.tsx                         | TypeScript JSX     |        159 |          0 |          5 |        164 |
| d:\Learn\codeEditor\apps\client\src\components\ProtectedRoute.tsx                                       | TypeScript JSX     |         35 |          1 |          6 |         42 |
| d:\Learn\codeEditor\apps\client\src\components\QuestionDrawer\QuestionDrawer.tsx                        | TypeScript JSX     |         25 |          0 |          6 |         31 |
| d:\Learn\codeEditor\apps\client\src\components\TabOne.tsx                                               | TypeScript JSX     |          7 |          0 |          2 |          9 |
| d:\Learn\codeEditor\apps\client\src\components\TestCase\TestCase.tsx                                    | TypeScript JSX     |          5 |          0 |          4 |          9 |
| d:\Learn\codeEditor\apps\client\src\components\TestResponse\TetstResponse.tsx                           | TypeScript JSX     |         25 |          0 |          2 |         27 |
| d:\Learn\codeEditor\apps\client\src\components\ThemeProvider.tsx                                        | TypeScript JSX     |         67 |          0 |         16 |         83 |
| d:\Learn\codeEditor\apps\client\src\contexts\CodeContext.tsx                                            | TypeScript JSX     |         22 |          0 |          7 |         29 |
| d:\Learn\codeEditor\apps\client\src\contexts\TabContext.tsx                                             | TypeScript JSX     |         36 |          1 |          9 |         46 |
| d:\Learn\codeEditor\apps\client\src\env.d.ts                                                            | TypeScript         |          3 |          1 |          0 |          4 |
| d:\Learn\codeEditor\apps\client\src\global.d.ts                                                         | TypeScript         |         14 |          0 |          2 |         16 |
| d:\Learn\codeEditor\apps\client\src\hooks\useFullscreen.ts                                              | TypeScript         |         30 |          0 |          6 |         36 |
| d:\Learn\codeEditor\apps\client\src\index.tsx                                                           | TypeScript JSX     |         11 |          0 |          2 |         13 |
| d:\Learn\codeEditor\apps\client\src\pages\Code.tsx                                                      | TypeScript JSX     |         14 |          0 |          3 |         17 |
| d:\Learn\codeEditor\apps\client\src\pages\Index.tsx                                                     | TypeScript JSX     |         39 |          0 |          6 |         45 |
| d:\Learn\codeEditor\apps\client\src\pages\JoinRoom.tsx                                                  | TypeScript JSX     |         98 |          0 |          7 |        105 |
| d:\Learn\codeEditor\apps\client\src\router\index.tsx                                                    | TypeScript JSX     |         37 |          0 |          2 |         39 |
| d:\Learn\codeEditor\apps\client\src\store\codeStore.ts                                                  | TypeScript         |         25 |          0 |          4 |         29 |
| d:\Learn\codeEditor\apps\client\src\store\index.ts                                                      | TypeScript         |          3 |          0 |          1 |          4 |
| d:\Learn\codeEditor\apps\client\src\store\userStore.ts                                                  | TypeScript         |         46 |          0 |          4 |         50 |
| d:\Learn\codeEditor\apps\client\src\styles\App.css                                                      | CSS                |         12 |          0 |          1 |         13 |
| d:\Learn\codeEditor\apps\client\src\styles\Monaco.css                                                   | CSS                |         33 |          0 |          2 |         35 |
| d:\Learn\codeEditor\apps\client\src\styles\editor.css                                                   | CSS                |         21 |          0 |          0 |         21 |
| d:\Learn\codeEditor\apps\client\src\styles\flexlayout.css                                               | CSS                |        845 |          1 |          2 |        848 |
| d:\Learn\codeEditor\apps\client\src\styles\index.css                                                    | CSS                |         79 |          1 |         12 |         92 |
| d:\Learn\codeEditor\apps\client\src\styles\joinRoom.css                                                 | CSS                |         62 |          1 |         11 |         74 |
| d:\Learn\codeEditor\apps\client\src\styles\livekit.css                                                  | CSS                |         62 |          4 |         11 |         77 |
| d:\Learn\codeEditor\apps\client\src\styles\reset.css                                                    | CSS                |        151 |          0 |         31 |        182 |
| d:\Learn\codeEditor\apps\client\src\utils\index.ts                                                      | TypeScript         |         47 |          1 |          8 |         56 |
| d:\Learn\codeEditor\apps\client\tailwind.config.js                                                      | JavaScript         |          8 |          1 |          2 |         11 |
| d:\Learn\codeEditor\apps\client\tsconfig.json                                                           | JSON with Comments |         24 |          0 |          1 |         25 |
| d:\Learn\codeEditor\apps\server\.dockerignore                                                           | Ignore             |          0 |          0 |          1 |          1 |
| d:\Learn\codeEditor\apps\server\.eslintrc.js                                                            | JavaScript         |         25 |          0 |          1 |         26 |
| d:\Learn\codeEditor\apps\server\.prettierrc                                                             | JSON               |          4 |          0 |          0 |          4 |
| d:\Learn\codeEditor\apps\server\Dockerfile                                                              | Docker             |         12 |          6 |         10 |         28 |
| d:\Learn\codeEditor\apps\server\README.md                                                               | Markdown           |         51 |          2 |         21 |         74 |
| d:\Learn\codeEditor\apps\server\nest-cli.json                                                           | JSON               |          9 |          0 |          1 |         10 |
| d:\Learn\codeEditor\apps\server\package.json                                                            | JSON               |         24 |          0 |          1 |         25 |
| d:\Learn\codeEditor\apps\server\prisma\migrations\20240614085518_init\migration.sql                     | SQL                |          4 |          1 |          2 |          7 |
| d:\Learn\codeEditor\apps\server\prisma\migrations\20240617025053_add_user_model\migration.sql           | SQL                |          7 |          2 |          3 |         12 |
| d:\Learn\codeEditor\apps\server\prisma\migrations\20240617060214_make_username_unique\migration.sql     | SQL                |          1 |          7 |          1 |          9 |
| d:\Learn\codeEditor\apps\server\prisma\migrations\20240617061902_make_username_not_unique\migration.sql | SQL                |          1 |          1 |          1 |          3 |
| d:\Learn\codeEditor\apps\server\prisma\schema.prisma                                                    | Prisma             |         17 |          4 |          6 |         27 |
| d:\Learn\codeEditor\apps\server\src\adapter.ts                                                          | TypeScript         |        199 |          8 |         23 |        230 |
| d:\Learn\codeEditor\apps\server\src\app.controller.ts                                                   | TypeScript         |         10 |          0 |          3 |         13 |
| d:\Learn\codeEditor\apps\server\src\app.module.ts                                                       | TypeScript         |         24 |          0 |          1 |         25 |
| d:\Learn\codeEditor\apps\server\src\app.service.ts                                                      | TypeScript         |          7 |          0 |          1 |          8 |
| d:\Learn\codeEditor\apps\server\src\interceptors\index.ts                                               | TypeScript         |          1 |          0 |          1 |          2 |
| d:\Learn\codeEditor\apps\server\src\interceptors\transform.interceptor.ts                               | TypeScript         |         55 |          0 |          5 |         60 |
| d:\Learn\codeEditor\apps\server\src\main.ts                                                             | TypeScript         |         14 |          0 |          2 |         16 |
| d:\Learn\codeEditor\apps\server\src\modules\code\code.controller.ts                                     | TypeScript         |         11 |          0 |          3 |         14 |
| d:\Learn\codeEditor\apps\server\src\modules\code\code.module.ts                                         | TypeScript         |         10 |          0 |          2 |         12 |
| d:\Learn\codeEditor\apps\server\src\modules\code\code.service.ts                                        | TypeScript         |         19 |          0 |          4 |         23 |
| d:\Learn\codeEditor\apps\server\src\modules\code\dto\run-code.dto.ts                                    | TypeScript         |         10 |          0 |          4 |         14 |
| d:\Learn\codeEditor\apps\server\src\modules\docker\Images\nodejs\Dockerfile                             | Docker             |         10 |          0 |          4 |         14 |
| d:\Learn\codeEditor\apps\server\src\modules\docker\config.ts                                            | TypeScript         |          6 |          0 |          2 |          8 |
| d:\Learn\codeEditor\apps\server\src\modules\docker\constants.ts                                         | TypeScript         |         67 |         11 |          3 |         81 |
| d:\Learn\codeEditor\apps\server\src\modules\docker\docker.controller.ts                                 | TypeScript         |          6 |          0 |          2 |          8 |
| d:\Learn\codeEditor\apps\server\src\modules\docker\docker.module.ts                                     | TypeScript         |          9 |          0 |          2 |         11 |
| d:\Learn\codeEditor\apps\server\src\modules\docker\docker.service.ts                                    | TypeScript         |        112 |          3 |         11 |        126 |
| d:\Learn\codeEditor\apps\server\src\modules\docker\types.ts                                             | TypeScript         |         30 |          1 |          3 |         34 |
| d:\Learn\codeEditor\apps\server\src\modules\gateway\event.gateway.ts                                    | TypeScript         |         41 |         11 |          5 |         57 |
| d:\Learn\codeEditor\apps\server\src\modules\gateway\event.module.ts                                     | TypeScript         |          6 |          0 |          2 |          8 |
| d:\Learn\codeEditor\apps\server\src\modules\gateway\y-websocket.ts                                      | TypeScript         |        188 |          6 |         17 |        211 |
| d:\Learn\codeEditor\apps\server\src\modules\leetcode\dto\index.ts                                       | TypeScript         |          6 |          0 |          2 |          8 |
| d:\Learn\codeEditor\apps\server\src\modules\leetcode\leetcode.controller.ts                             | TypeScript         |         11 |          0 |          2 |         13 |
| d:\Learn\codeEditor\apps\server\src\modules\leetcode\leetcode.module.ts                                 | TypeScript         |          8 |          0 |          2 |         10 |
| d:\Learn\codeEditor\apps\server\src\modules\leetcode\leetcode.service.ts                                | TypeScript         |         42 |          3 |          5 |         50 |
| d:\Learn\codeEditor\apps\server\src\modules\livekit\dto\index.ts                                        | TypeScript         |          9 |          0 |          3 |         12 |
| d:\Learn\codeEditor\apps\server\src\modules\livekit\livekit.controller.ts                               | TypeScript         |         17 |          0 |          3 |         20 |
| d:\Learn\codeEditor\apps\server\src\modules\livekit\livekit.module.ts                                   | TypeScript         |          9 |          0 |          1 |         10 |
| d:\Learn\codeEditor\apps\server\src\modules\livekit\livekit.service.ts                                  | TypeScript         |         22 |          0 |          4 |         26 |
| d:\Learn\codeEditor\apps\server\src\modules\prisma\prisma.module.ts                                     | TypeScript         |          8 |          0 |          2 |         10 |
| d:\Learn\codeEditor\apps\server\src\modules\prisma\prisma.service.ts                                    | TypeScript         |         10 |          0 |          1 |         11 |
| d:\Learn\codeEditor\apps\server\src\modules\room\dto\index.ts                                           | TypeScript         |         21 |          0 |          3 |         24 |
| d:\Learn\codeEditor\apps\server\src\modules\room\entities\room.entity.ts                                | TypeScript         |          1 |          0 |          1 |          2 |
| d:\Learn\codeEditor\apps\server\src\modules\room\room.controller.ts                                     | TypeScript         |         23 |          0 |          4 |         27 |
| d:\Learn\codeEditor\apps\server\src\modules\room\room.module.ts                                         | TypeScript         |          8 |          0 |          2 |         10 |
| d:\Learn\codeEditor\apps\server\src\modules\room\room.service.ts                                        | TypeScript         |         80 |          2 |          9 |         91 |
| d:\Learn\codeEditor\apps\server\tsconfig.build.json                                                     | JSON               |          4 |          0 |          1 |          5 |
| d:\Learn\codeEditor\apps\server\tsconfig.json                                                           | JSON with Comments |         30 |          0 |          1 |         31 |
| d:\Learn\codeEditor\docker-compose.yml                                                                  | YAML               |         10 |          9 |          2 |         21 |
| d:\Learn\codeEditor\lib\assets\svgs\logo.dark.svg                                                       | XML                |         15 |          0 |          1 |         16 |
| d:\Learn\codeEditor\lib\assets\svgs\logo.light.svg                                                      | XML                |         15 |          0 |          1 |         16 |
| d:\Learn\codeEditor\lib\requests\code.ts                                                                | TypeScript         |         33 |          2 |          2 |         37 |
| d:\Learn\codeEditor\lib\requests\index.ts                                                               | TypeScript         |          4 |          0 |          0 |          4 |
| d:\Learn\codeEditor\lib\requests\livekit.ts                                                             | TypeScript         |          4 |          0 |          2 |          6 |
| d:\Learn\codeEditor\lib\requests\question.ts                                                            | TypeScript         |          4 |          1 |          2 |          7 |
| d:\Learn\codeEditor\lib\requests\request.ts                                                             | TypeScript         |        101 |          4 |          7 |        112 |
| d:\Learn\codeEditor\lib\requests\room.ts                                                                | TypeScript         |         18 |          0 |          6 |         24 |
| d:\Learn\codeEditor\lib\types\leetcode\index.ts                                                         | TypeScript         |         24 |          0 |          1 |         25 |
| d:\Learn\codeEditor\lib\utils\code.ts                                                                   | TypeScript         |         15 |          6 |          4 |         25 |
| d:\Learn\codeEditor\lib\utils\index.ts                                                                  | TypeScript         |         22 |          2 |          5 |         29 |
| d:\Learn\codeEditor\package.json                                                                        | JSON               |         98 |          0 |          1 |         99 |
| d:\Learn\codeEditor\pnpm-lock.yaml                                                                      | YAML               |      7,082 |          0 |        980 |      8,062 |
| d:\Learn\codeEditor\pnpm-workspace.yaml                                                                 | YAML               |          2 |          0 |          0 |          2 |
| d:\Learn\codeEditor\tsconfig.json                                                                       | JSON with Comments |         10 |          0 |          1 |         11 |
| d:\Learn\codeEditor\turbo.json                                                                          | JSON               |          8 |          0 |          1 |          9 |
| d:\Learn\codeEditor\types\global.d.ts                                                                   | TypeScript         |          8 |          0 |          2 |         10 |
| Total                                                                                                   |                    |     12,090 |        197 |      1,544 |     13,831 |
+---------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
